Epoch Train_Loss Validation_Loss
1 23.164 14.331
2 14.451 13.573
3 13.267 12.374
4 12.366 12.019
5 12.201 11.172
6 11.963 10.764
7 11.404 10.756
8 10.742 12.178
9 10.445 8.566
10 10.554 9.319
11 9.939 8.677
12 9.559 8.409
13 9.578 8.680
14 9.460 13.181
15 9.131 7.969
16 9.007 9.634
17 9.046 8.557
18 8.882 8.683
19 8.743 8.473
20 8.574 10.793
21 8.645 8.046
22 8.997 8.051
23 8.332 7.740
24 8.246 8.443
25 8.243 7.590
26 7.929 7.676
27 7.946 7.568
28 7.941 8.184
29 7.899 7.565
30 7.933 9.289
31 7.904 7.781
32 7.725 7.724
33 7.666 10.535
34 7.830 7.961
35 7.586 8.072
36 7.492 8.147
37 7.411 7.537
38 7.428 8.017
39 7.646 7.826
40 7.756 8.222
41 7.439 7.269
42 7.185 7.790
43 7.273 8.325
44 7.406 7.411
45 7.208 7.682
46 7.419 8.711
47 7.212 7.462
48 7.227 7.930
49 7.029 7.187
50 6.948 8.364
51 7.114 7.522
52 7.070 9.537
53 7.071 7.291
54 6.949 8.979
55 7.026 7.640
56 7.061 7.889
57 6.892 7.276
58 6.784 7.788
59 6.713 8.176
60 6.936 9.413
61 7.258 7.850
62 6.871 8.372
63 6.703 7.513
64 6.755 8.228
65 6.830 9.286
66 6.843 8.044
67 6.498 7.504
68 6.601 7.861
69 6.693 7.468
Training complete! Best validation at epoch 49. Validation loss: 7.187, Test loss: 7.138
