Epoch Train_Loss Validation_Loss
1 27.532 24.906
2 18.402 16.786
3 13.717 10.927
4 11.636 10.542
5 10.809 9.866
6 10.366 9.147
7 9.765 8.448
8 9.292 9.012
9 8.875 10.052
10 8.612 10.280
11 8.400 7.890
12 7.953 7.874
13 7.848 7.472
14 7.554 9.165
15 7.349 8.586
16 7.345 8.970
17 7.279 11.908
18 6.989 7.319
19 6.673 8.238
20 6.652 7.539
21 6.428 7.448
22 6.325 7.493
23 6.266 7.126
24 6.079 7.199
25 5.879 7.114
26 5.932 7.177
27 5.831 7.322
28 5.713 7.546
29 5.808 7.366
30 5.703 7.419
31 5.523 8.884
32 5.608 7.467
33 5.712 8.411
34 5.623 7.483
35 5.691 7.852
36 5.432 7.100
37 5.432 7.001
38 5.282 6.956
39 5.240 7.105
40 5.133 7.086
41 5.188 6.930
42 5.134 6.835
43 5.073 7.085
44 5.017 6.970
45 4.929 6.863
46 4.891 6.967
47 4.894 6.967
48 4.776 6.800
49 4.757 6.812
50 4.882 6.813
51 4.772 6.864
52 4.712 6.893
53 4.696 6.891
54 4.658 7.077
55 4.730 6.880
56 4.629 6.882
57 4.613 7.072
58 4.652 6.993
59 4.701 7.205
60 4.655 6.755
61 4.532 6.895
62 4.572 6.931
63 4.474 7.011
64 4.591 6.998
65 4.476 7.206
66 4.542 6.898
67 4.467 6.787
68 4.462 6.962
69 4.382 6.802
70 4.344 6.707
71 4.568 6.773
72 4.429 7.053
73 4.251 6.783
74 4.300 6.651
75 4.237 6.868
76 4.337 6.778
77 4.436 6.887
78 4.400 6.886
79 4.399 6.935
80 4.198 6.775
81 4.224 6.761
82 4.109 6.862
83 4.158 6.681
84 4.185 6.724
85 4.065 6.632
86 4.017 6.638
87 4.029 6.665
88 4.073 6.815
89 4.059 6.749
90 4.054 6.866
91 3.976 6.727
92 3.979 7.029
93 4.038 6.846
94 3.920 6.686
95 4.035 6.932
96 3.974 6.847
97 3.877 6.797
98 3.941 6.787
99 3.892 6.810
100 3.975 6.707
Training complete! Best validation at epoch 85. Validation loss: 6.632, Test loss: 6.698
