Epoch Train_Loss Validation_Loss
1 16.879 14.336
2 14.354 13.113
3 14.222 13.624
4 13.827 13.335
5 13.729 12.927
6 13.754 14.185
7 14.037 14.932
8 13.512 12.894
9 13.509 12.143
10 13.361 27.545
11 13.097 12.210
12 12.864 14.636
13 13.077 12.204
14 12.931 16.613
15 12.700 14.325
16 12.294 12.444
17 12.351 11.996
18 12.431 39.147
19 12.764 11.212
20 12.176 12.090
21 12.044 11.333
22 12.298 15.065
23 12.050 11.361
24 11.994 11.033
25 11.982 10.810
26 11.805 11.347
27 11.782 10.790
28 11.510 10.776
29 11.735 11.004
30 11.495 11.182
31 11.916 13.436
32 11.768 10.969
33 11.482 10.525
34 11.470 10.607
35 11.634 17.431
36 12.097 12.631
37 11.706 14.816
38 11.667 10.820
39 11.709 10.749
40 11.343 10.258
41 12.623 12.764
42 12.455 10.872
43 12.574 12.827
44 13.079 16.180
45 12.923 12.959
46 12.514 11.733
47 12.432 11.508
48 12.174 12.115
49 12.279 11.625
50 12.172 18.134
51 12.236 25.210
52 12.359 12.306
53 12.301 12.527
54 12.457 46.443
55 12.023 47.648
56 12.037 20.246
57 12.047 10.939
58 11.822 10.982
59 11.646 11.221
60 11.809 24.542
Training complete! Best validation at epoch 40. Validation loss: 10.258, Test loss: 10.387
