Epoch Train_Loss Validation_Loss
1 26.868 23.275
2 18.176 13.971
3 12.864 13.273
4 11.671 13.037
5 11.119 10.732
6 10.355 10.747
7 9.514 9.761
8 8.882 8.922
9 8.206 9.282
10 7.759 9.119
11 7.474 8.891
12 6.848 12.530
13 6.746 7.882
14 6.359 8.734
15 6.138 8.109
16 5.565 7.919
17 5.127 8.330
18 4.845 8.113
19 4.678 8.137
20 4.725 7.913
21 4.621 8.225
22 4.443 8.943
23 4.417 7.771
24 4.167 7.650
25 3.835 7.421
26 3.478 7.228
27 3.093 7.379
28 2.946 8.064
29 2.807 7.810
30 2.753 8.255
31 2.685 7.835
32 2.834 7.270
33 2.591 7.265
34 2.415 7.182
35 2.234 7.111
36 2.082 7.336
37 2.200 7.245
38 2.186 7.583
39 2.194 7.394
40 2.123 7.156
41 2.038 7.148
42 2.058 7.531
43 2.334 7.105
44 2.174 7.228
45 2.075 7.376
46 2.017 7.567
47 1.838 7.234
48 1.879 7.194
49 1.887 7.253
50 1.862 7.372
51 1.729 7.287
52 1.715 7.114
53 1.659 7.019
54 1.611 6.984
55 1.647 7.044
56 1.574 7.282
57 1.622 7.308
58 1.576 7.173
59 1.644 7.005
60 1.607 7.060
61 1.519 7.070
62 1.408 6.810
63 1.386 6.977
64 1.325 6.911
65 1.319 6.981
66 1.453 6.966
67 1.372 6.920
68 1.474 6.910
69 1.399 7.087
70 1.450 7.203
71 1.484 7.215
72 1.393 7.077
73 1.367 7.125
74 1.414 7.000
75 1.461 6.918
76 1.559 7.115
77 1.753 7.406
78 1.705 7.037
79 1.543 7.040
80 1.476 7.056
81 1.358 7.067
82 1.391 7.095
83 1.484 6.966
84 1.488 7.140
85 1.421 6.999
86 1.282 7.168
87 1.247 7.041
88 1.219 6.953
89 1.209 6.812
90 1.390 6.803
91 1.387 7.149
92 1.403 7.024
93 1.353 7.016
94 1.321 6.904
95 1.288 7.053
96 1.386 7.192
97 1.387 7.040
98 1.331 7.001
99 1.234 6.977
100 1.266 7.177
Training complete! Best validation at epoch 90. Validation loss: 6.803, Test loss: 6.964
