Epoch Train_Loss Validation_Loss
1 28.957 27.110
2 24.689 19.936
3 19.207 17.935
4 15.239 14.108
5 13.331 11.709
6 12.248 12.355
7 11.941 12.399
8 11.167 10.841
9 10.511 9.967
10 10.313 10.206
11 9.996 9.470
12 9.635 9.136
13 9.510 9.468
14 9.148 8.427
15 8.829 8.381
16 8.586 8.214
17 8.324 8.243
18 8.159 9.094
19 8.296 8.272
20 8.101 8.169
21 7.958 7.668
22 7.559 8.814
23 7.619 7.843
24 7.704 9.931
25 7.660 8.390
26 7.457 8.486
27 7.537 7.525
28 7.153 10.726
29 7.621 8.309
30 7.368 7.737
31 7.133 9.492
32 6.836 7.401
33 6.996 11.911
34 7.790 7.740
35 7.371 8.236
36 7.131 7.654
37 6.842 7.999
38 6.736 7.600
39 6.744 7.478
40 7.030 7.707
41 7.000 7.951
42 6.685 7.621
43 6.560 7.672
44 6.751 7.523
45 6.727 7.598
46 6.845 7.862
47 6.575 8.133
48 6.561 7.378
49 6.441 7.430
50 6.552 7.647
51 6.415 8.532
52 6.373 7.380
53 6.510 8.159
54 6.497 7.157
55 6.529 8.316
56 6.624 8.768
57 6.554 10.546
58 6.601 8.065
59 6.528 10.225
60 6.393 7.396
61 6.420 7.457
62 6.183 7.499
63 6.091 7.221
64 6.091 7.425
65 6.149 7.871
66 6.183 7.437
67 6.123 8.316
68 6.207 7.559
69 6.077 9.199
70 6.107 7.197
71 6.020 7.534
72 6.072 7.513
73 6.032 7.539
74 6.043 7.003
75 6.042 7.602
76 6.114 7.540
77 6.314 8.070
78 6.123 7.487
79 6.095 7.982
80 6.219 8.519
81 6.300 7.700
82 6.234 7.386
83 5.981 7.491
84 5.956 8.000
85 5.866 7.607
86 5.796 7.512
87 5.931 8.152
88 5.928 7.247
89 5.972 7.423
90 5.821 7.702
91 5.868 7.316
92 5.866 8.372
93 5.832 7.626
94 6.055 7.959
Training complete! Best validation at epoch 74. Validation loss: 7.003, Test loss: 7.439
