Epoch Train_Loss Validation_Loss
1 27.524 25.089
2 19.162 21.374
3 14.177 15.289
4 13.102 13.544
5 11.694 10.904
6 10.847 10.015
7 10.732 9.880
8 10.369 11.044
9 9.996 9.875
10 9.981 13.968
11 9.473 11.778
12 9.380 10.742
13 9.341 9.740
14 8.949 8.800
15 8.891 9.134
16 8.947 9.101
17 8.490 8.091
18 8.692 8.683
19 8.820 7.945
20 8.572 9.933
21 8.364 8.047
22 8.381 8.947
23 8.275 11.739
24 7.982 7.793
25 8.125 8.535
26 7.891 8.100
27 7.870 9.868
28 8.040 7.904
29 7.800 8.632
30 7.539 9.104
31 7.519 10.108
32 7.526 9.339
33 7.609 10.060
34 7.456 8.067
35 7.512 8.680
36 7.519 8.092
37 7.158 7.662
38 7.509 8.940
39 7.610 7.908
40 7.188 8.807
41 7.339 8.354
42 7.289 7.933
43 7.121 7.428
44 7.124 8.432
45 7.105 7.523
46 6.874 7.702
47 6.853 8.037
48 6.974 8.355
49 6.866 8.413
50 6.967 7.441
51 6.862 8.583
52 6.994 8.170
53 6.870 7.562
54 6.924 8.832
55 6.993 7.646
56 6.741 7.793
57 6.637 7.521
58 6.654 7.638
59 6.673 7.931
60 6.711 7.569
61 6.908 8.207
62 6.686 7.902
63 6.449 7.712
Training complete! Best validation at epoch 43. Validation loss: 7.428, Test loss: 8.081
