Epoch Train_Loss Validation_Loss
1 26.731 22.465
2 18.039 12.454
3 14.197 13.352
4 12.762 10.844
5 12.365 10.960
6 11.484 10.948
7 10.741 10.048
8 10.368 11.354
9 10.028 8.714
10 9.763 14.314
11 9.881 10.373
12 9.499 8.638
13 9.264 8.327
14 9.022 8.118
15 9.055 8.446
16 8.916 8.321
17 8.747 8.466
18 8.888 8.945
19 8.479 7.849
20 8.412 8.657
21 8.509 7.883
22 8.398 9.341
23 8.660 8.908
24 8.077 8.700
25 8.080 8.111
26 8.073 16.889
27 7.970 8.613
28 7.894 7.797
29 7.476 8.072
30 7.736 7.613
31 7.564 7.943
32 7.597 8.255
33 7.532 7.428
34 7.531 7.717
35 7.476 8.066
36 7.385 7.489
37 7.300 7.833
38 7.194 7.783
39 7.209 7.688
40 7.303 9.037
41 7.136 7.861
42 7.126 7.556
43 7.094 8.072
44 6.980 10.342
45 6.895 7.734
46 6.865 9.271
47 6.816 7.857
48 6.789 13.588
49 7.211 7.566
50 6.760 7.666
51 6.716 8.560
52 7.111 8.907
53 6.828 7.887
Training complete! Best validation at epoch 33. Validation loss: 7.428, Test loss: 7.506
