Epoch Train_Loss Validation_Loss
1 27.485 26.391
2 18.950 16.429
3 14.647 12.533
4 12.793 10.890
5 12.401 11.177
6 12.017 10.574
7 11.349 11.250
8 10.613 9.698
9 10.322 9.313
10 10.038 12.527
11 9.654 8.876
12 9.487 7.913
13 9.252 7.828
14 9.114 7.587
15 8.809 7.368
16 8.735 7.616
17 8.452 7.833
18 8.224 8.688
19 8.160 7.310
20 7.849 7.883
21 7.598 7.316
22 7.636 7.387
23 7.374 7.256
24 7.268 7.314
25 7.219 7.784
26 7.078 7.593
27 7.224 7.807
28 7.078 7.624
29 6.925 7.744
30 6.793 7.638
31 6.800 7.655
32 6.568 7.183
33 6.656 7.172
34 6.537 7.168
35 6.614 7.749
36 6.407 7.136
37 6.452 6.962
38 6.217 7.111
39 6.236 7.061
40 6.137 7.131
41 6.148 7.331
42 6.185 7.064
43 6.047 7.225
44 5.901 6.982
45 5.927 6.990
46 5.976 7.289
47 5.891 7.205
48 5.838 7.183
49 5.891 7.113
50 5.854 7.077
51 5.738 6.938
52 5.725 7.170
53 5.702 7.181
54 5.618 7.000
55 5.465 6.980
56 5.541 7.111
57 5.399 7.206
58 5.506 7.024
59 5.384 7.170
60 5.420 7.072
61 5.375 7.048
62 5.354 7.169
63 5.237 6.963
64 5.357 7.073
65 5.241 7.154
66 5.115 7.019
67 5.140 7.063
68 5.162 7.495
69 5.190 7.033
70 5.056 7.057
71 5.004 7.161
72 4.954 6.984
73 5.012 6.972
74 4.938 7.112
75 4.828 6.971
76 4.916 6.984
77 4.881 7.108
78 4.865 6.904
79 4.933 7.159
80 4.855 6.931
81 4.836 7.127
82 4.856 7.034
83 4.740 7.137
84 4.785 7.008
85 4.697 7.191
86 4.697 6.870
87 4.523 6.910
88 4.755 6.994
89 4.617 7.040
90 4.587 6.906
91 4.536 6.833
92 4.535 6.932
93 4.585 6.973
94 4.527 7.000
95 4.566 6.850
96 4.482 7.017
97 4.552 6.904
98 4.491 7.108
99 4.462 7.205
100 4.473 6.911
Training complete! Best validation at epoch 91. Validation loss: 6.833, Test loss: 6.905
