Epoch Train_Loss Validation_Loss
319 13.633 13.155
320 13.507 13.708
321 13.425 13.187
322 13.396 14.255
323 13.419 12.736
324 13.323 13.795
325 13.211 13.587
326 13.051 13.277
327 13.072 12.744
328 12.976 13.041
329 12.995 13.467
330 12.840 12.977
331 12.892 12.919
332 12.806 12.325
333 12.824 13.914
334 12.688 12.603
335 12.744 12.439
336 12.510 13.020
337 12.539 12.780
338 12.513 12.568
339 12.301 12.686
340 12.352 12.705
341 12.384 11.699
342 12.419 13.850
343 12.164 12.321
344 12.132 12.141
345 12.046 12.316
346 11.836 11.535
347 11.915 12.978
348 11.846 11.539
349 11.571 12.655
350 11.707 11.753
351 11.709 12.943
352 11.617 12.464
353 11.570 11.570
354 11.565 11.586
355 11.403 12.139
356 11.416 11.508
357 11.368 11.215
358 11.341 12.036
359 11.195 10.714
360 11.318 11.357
361 11.161 11.059
362 11.062 11.378
363 10.916 12.078
364 11.017 10.974
365 11.002 11.054
366 10.883 11.089
367 10.955 11.287
368 10.770 10.748
369 10.757 11.321
370 10.863 11.111
371 10.703 10.824
372 10.581 10.723
373 10.604 10.369
374 10.651 10.879
375 10.479 11.109
376 10.518 10.163
377 10.309 10.686
378 10.280 10.263
379 10.405 10.870
380 10.173 10.358
381 10.329 10.695
382 10.106 9.883
383 10.085 10.131
384 10.047 10.146
385 10.101 10.011
386 10.067 9.934
387 10.058 9.725
388 10.064 9.780
389 9.909 10.426
390 9.753 10.137
391 9.787 10.181
392 9.849 9.665
393 9.787 9.564
394 9.706 9.634
395 9.604 10.130
396 9.653 9.430
397 9.679 9.307
398 9.586 9.604
399 9.473 9.611
400 9.478 9.365
401 9.542 9.561
402 9.342 9.288
403 9.302 8.789
404 9.350 9.742
405 9.285 9.042
406 9.324 9.025
407 9.267 9.368
408 9.259 8.902
409 9.270 8.980
410 9.081 9.180
411 9.191 9.169
412 9.171 8.967
413 9.174 9.286
414 9.031 8.757
415 9.023 9.024
416 9.092 8.790
417 9.044 8.848
418 9.007 9.396
419 8.901 8.825
420 8.853 8.485
421 8.982 8.820
422 8.934 8.659
423 8.875 8.579
424 8.963 8.231
425 8.815 8.284
426 8.834 9.179
427 8.799 8.471
428 8.859 8.683
429 8.727 8.663
430 8.615 8.933
431 8.640 8.158
432 8.641 9.094
433 8.573 8.374
434 8.713 8.505
435 8.520 8.168
436 8.463 8.577
437 8.537 8.513
438 8.489 8.356
439 8.421 8.005
440 8.359 8.529
441 8.225 8.098
442 8.317 7.970
443 8.077 7.997
444 8.257 8.679
445 8.171 8.620
446 8.252 7.800
447 8.080 7.806
448 8.090 8.566
449 8.298 8.106
450 8.078 8.123
451 7.986 8.228
452 7.980 7.726
453 7.966 7.848
454 7.940 7.664
455 8.031 7.952
456 8.019 7.863
457 8.042 7.670
458 7.940 7.620
459 7.940 7.851
460 7.885 7.854
461 7.848 7.679
462 7.901 7.921
463 7.946 7.557
464 7.985 7.859
465 7.821 7.627
466 7.686 7.610
467 7.838 7.538
468 7.817 7.543
469 7.909 7.683
470 7.758 7.560
471 7.735 7.463
472 7.884 7.403
473 7.865 7.364
474 7.763 8.005
475 7.720 7.504
476 7.728 7.368
477 7.645 7.375
478 7.671 7.404
479 7.848 7.340
480 7.621 7.243
481 7.415 7.299
482 7.833 7.308
483 7.658 7.313
484 7.580 7.430
485 7.601 7.211
486 7.706 7.708
487 7.658 7.444
488 7.609 7.342
489 7.560 7.275
490 7.629 7.478
